用户名,评论内容,评论时间,点赞数
悠然沉醉梦乡里,为什么我们总要等到失去以后才懂得珍惜,17分钟前,0
黑白情漾,可是真的不想失去啊,26分钟前,0
华灯初上樱樱樱酒,“我以为你是懂我的” “我怎么会不懂你？” “我不信你不爱我” “不爱你”[流泪],49分钟前,0
在下雨_6,"往事不会说谎别跟它为难，
我们两人之间不需要这样。",52分钟前,0
沈溪jj,突然好想哭 这一路走来没人好好爱我.,14:18,0
---零碎---,"""说什么听话，我的青春我做主""",13:07,0
家猫难哄,又来修炼爱情了,13:06,0
卍等你优秀,你也是 要好好照顾自己哦！[多多可怜],12:49,0
酷酷的饱饱,藏眼泪到心脏,12:45,1
秋末残雪mad,可是记忆会骗自己啊[多多大哭],12:45,0
入机老大爷,那你想吧,11:05,0
入机老大爷,还没释怀,11:04,0
入机老大爷,没说过,11:03,0
入机老大爷,我不是宇航员,11:03,0
入机老大爷,又不是你结婚886,11:03,0
入机老大爷,谢谢,11:02,0
入机老大爷,我呀,11:02,0
入机老大爷,谢谢,11:01,0
悲傷的叮咚雞,婚姻并不是人生的必答题 不要因为别人都在交卷而乱写答案.,11:01,1
W__yyyxxx,今天胃又在考试的时候偷偷发疯真受不了它但是又庆幸他没在大考的时候这样，现在是24.12.27天气小雨距离高考还有162天加油,08:29,1
是小王的网易云oO,初听不知曲中意，再听已是曲中人。,01:52,1
就叫我淮安吧,谢谢,00:45,0
意难平_zFUn,都快25年了 我还在听 听不腻好吧,00:35,0
许愿有个玮,你像个小孩子 我愿意爱你的一切,00:16,1
-----Gabriel-----,修炼爱情的心酸,00:10,0
慕希_aNTh,"爱是不能复制粘贴的，每个人都是不一样的。可难过的也在人和人是不能完全感同身受的，你给的不是我想要的。我想要的你也给不了，世界就是那么复杂。明明记忆停在最美好的时候就好了，偏偏感情总让我们关系老死不相往来。原来爱的反面是恨。
",昨天23:56,0
啥也不是-------------,打卡,昨天23:20,0
TPoisonBiting,有什么误会都不要解开，再多的后悔也不要说出来，你给我消失，你永远对不起我，再也不见,昨天23:16,0
欲榆y,那一夜我好像   真的说错了话.,昨天23:11,0
深蓝的心,最后的告别是自言自语,昨天22:36,0
-齐天小盛-,耳机是人类的避难所，音乐是心脏的救命丸,昨天22:27,1
AM无价,天气逐渐变凉记得照顾好自己.,昨天22:11,0
小优伤_776,模糊又清晰 到底是时间不对还是我们无缘,昨天21:51,0
纪星竹,加油！[强],昨天21:20,0
纪星竹,深知我留不住你所以我不言不语.,昨天21:19,1
思念片刻未停,好难过。TT,昨天21:11,0
Zzz雾已散,你一定能看到的,昨天20:43,0
怂禹儿-,高三好累 但是我要上一本,昨天20:08,1
末日吻痕,现在呢 幸福吗,昨天19:54,0
20150901_,今天刚好九年 这个道理你比我早明白九年啊,昨天19:52,0
